order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
33,2,643,Samosa,2023-04-29,23:56:20,Completed,284
34,33,398,Burger,2023-04-30,23:53:23,Completed,184
35,10,194,Chicken Shawarma,2023-05-01,23:53:07,Completed,505
36,28,192,Egg Curry,2023-05-02,23:58:35,Completed,382
37,24,473,Egg Curry,2023-05-03,23:57:42,Completed,369
38,15,111,Mutton Rogan Josh,2023-05-04,23:53:38,Completed,469
39,7,688,Pasta Alfredo,2023-05-05,23:53:33,Completed,562
40,31,620,Chole Bhature,2023-05-06,23:54:00,Completed,288
41,30,19,Pasta Alfredo,2023-05-07,23:57:42,Completed,598
42,16,640,Chole Bhature,2023-05-08,23:54:40,Completed,271
43,24,738,Mutton Rogan Josh,2023-05-09,23:55:53,Completed,476
44,10,789,Paneer Butter Masala,2023-05-10,23:56:32,Completed,299
45,12,584,Paneer Lababdar,2023-05-11,23:56:23,Completed,334
46,12,412,Masala Dosa,2023-05-12,23:59:31,Completed,554
47,20,83,Burger,2023-05-13,23:56:22,Completed,216
48,29,89,Chicken Shawarma,2023-05-14,23:54:13,Completed,318
49,15,713,Mutton Biryani,2023-05-15,23:57:13,Completed,511
50,9,167,Chole Bhature,2023-05-16,23:52:37,Completed,418
51,3,780,Mutton Rogan Josh,2023-05-17,23:54:12,Completed,476
52,12,741,Paneer Butter Masala,2023-05-18,23:51:16,Completed,271
53,18,648,Paneer Butter Masala,2023-05-19,23:50:28,Completed,446
54,13,626,Prawn Masala,2023-05-20,23:59:15,Completed,474
55,2,586,Chicken Shawarma,2023-05-21,23:57:08,Completed,389
56,17,233,Masala Dosa,2023-05-22,23:50:42,Completed,559
57,3,291,Mutton Rogan Josh,2023-05-23,23:54:57,Completed,463
58,28,286,Chicken Shawarma,2023-05-24,23:51:21,Completed,555
59,24,22,Burger,2023-05-25,23:51:03,Completed,454
60,32,698,Masala Dosa,2023-05-26,23:52:06,Completed,512
61,29,583,Burger,2023-05-27,23:59:44,Completed,200
62,29,114,Pasta Alfredo,2023-05-28,23:54:13,Completed,222
63,23,237,Mutton Rogan Josh,2023-05-29,23:53:50,Completed,482
64,12,560,Masala Dosa,2023-05-30,23:53:48,Completed,291
65,17,748,Samosa,2023-05-31,23:54:16,Completed,158
66,22,223,Egg Curry,2023-06-01,23:54:14,Completed,552
67,21,188,Prawn Masala,2023-06-02,23:58:04,Completed,244
68,4,672,Pasta Alfredo,2023-06-03,23:56:00,Completed,153
69,19,133,Chicken Biryani,2023-06-04,23:56:04,Completed,482
70,20,688,Prawn Masala,2023-06-05,23:58:01,Completed,261
71,26,259,Samosa,2023-06-06,23:56:22,Completed,269
72,29,699,Chicken Biryani,2023-06-07,23:55:19,Completed,411
73,29,778,Samosa,2023-06-08,23:56:53,Completed,180
74,4,414,Pasta Alfredo,2023-06-09,23:54:33,Completed,171
75,29,402,Egg Curry,2023-06-10,23:50:30,Completed,433
76,17,433,Prawn Masala,2023-06-11,23:53:08,Completed,494
77,18,266,Chicken Shawarma,2023-06-12,23:54:25,Completed,395
78,23,652,Chole Bhature,2023-06-13,23:52:12,Completed,550
79,11,57,Mutton Rogan Josh,2023-06-14,23:57:23,Completed,320
80,30,135,Mutton Biryani,2023-06-15,23:55:39,Completed,417
81,33,627,Burger,2023-06-16,23:53:03,Completed,187
82,32,412,Prawn Masala,2023-06-17,23:57:51,Completed,441
83,22,703,Samosa,2023-06-18,23:52:34,Completed,580
84,3,289,Paneer Butter Masala,2023-06-19,23:53:12,Completed,537
85,6,244,Masala Dosa,2023-06-20,23:54:06,Completed,416
86,6,784,Chicken Shawarma,2023-06-21,23:51:50,Completed,351
87,24,695,Prawn Masala,2023-06-22,23:56:00,Completed,159
88,26,165,Chicken Shawarma,2023-06-23,23:50:51,Completed,341
89,28,798,Chicken Biryani,2023-06-24,23:54:59,Completed,597
90,28,672,Egg Curry,2023-06-25,23:52:23,Completed,375
91,14,138,Egg Curry,2023-06-26,23:52:18,Completed,478
92,11,657,Chicken Shawarma,2023-06-27,23:54:41,Completed,467
93,10,486,Chole Bhature,2023-06-28,23:53:48,Completed,389
94,3,285,Burger,2023-06-29,23:59:48,Completed,268
95,17,703,Paneer Butter Masala,2023-06-30,23:59:50,Completed,525
96,25,504,Prawn Masala,2023-07-01,23:57:37,Completed,374
97,24,621,Burger,2023-07-02,23:57:06,Completed,580
98,32,113,Prawn Masala,2023-07-03,23:55:29,Completed,490
99,2,276,Chicken Shawarma,2023-07-04,23:52:59,Completed,350
100,27,233,Egg Curry,2023-07-05,23:53:44,Completed,580
101,26,436,Burger,2023-07-06,23:58:51,Completed,499
102,4,423,Pasta Alfredo,2023-07-07,23:55:23,Completed,494
103,10,419,Masala Dosa,2023-07-08,23:53:06,Completed,383
104,9,33,Samosa,2023-07-09,23:55:44,Completed,400
105,29,411,Mutton Biryani,2023-07-10,23:51:17,Completed,220
106,29,362,Egg Curry,2023-07-11,23:54:26,Completed,446
107,31,305,Paneer Butter Masala,2023-07-12,23:54:34,Completed,257
108,31,661,Burger,2023-07-13,23:52:36,Completed,537
109,30,625,Samosa,2023-07-14,23:56:12,Completed,256
110,2,195,Chicken Biryani,2023-07-15,23:57:35,Completed,211
111,3,214,Masala Dosa,2023-07-16,23:59:50,Completed,239
112,13,150,Mutton Biryani,2023-07-17,23:59:21,Completed,515
113,22,594,Mutton Biryani,2023-07-18,23:54:32,Completed,501
114,25,315,Chicken Biryani,2023-07-19,23:53:47,Completed,297
115,3,606,Egg Curry,2023-07-20,23:55:29,Completed,347
116,9,439,Egg Curry,2023-07-21,23:54:24,Completed,252
117,20,650,Egg Curry,2023-07-22,23:56:09,Completed,259
118,27,197,Mutton Biryani,2023-07-23,23:53:48,Completed,399
119,20,723,Paneer Lababdar,2023-07-24,23:51:42,Completed,171
120,17,513,Burger,2023-07-25,23:56:26,Completed,360
121,31,490,Chicken Biryani,2023-07-26,23:56:49,Completed,391
122,17,281,Paneer Butter Masala,2023-07-27,23:57:07,Completed,376
123,4,553,Paneer Lababdar,2023-07-28,23:58:58,Completed,545
124,26,497,Mutton Rogan Josh,2023-07-29,23:56:07,Completed,289
125,16,140,Paneer Butter Masala,2023-07-30,23:57:08,Completed,418
126,1,474,Burger,2023-07-31,23:55:25,Completed,274
127,5,398,Masala Dosa,2023-08-01,23:57:16,Completed,257
128,19,300,Burger,2023-08-02,23:58:23,Completed,519
129,17,565,Masala Dosa,2023-08-03,23:52:31,Completed,581
130,28,391,Egg Curry,2023-08-04,23:51:07,Completed,205
131,5,730,Chicken Biryani,2023-08-05,23:50:06,Completed,353
132,14,340,Paneer Lababdar,2023-08-06,23:54:25,Completed,441
133,18,82,Chicken Shawarma,2023-08-07,23:55:10,Completed,346
134,2,712,Chicken Biryani,2023-08-08,23:54:50,Completed,499
135,13,69,Mutton Biryani,2023-08-09,23:52:04,Completed,234
136,4,737,Mutton Rogan Josh,2023-08-10,23:52:09,Completed,520
137,5,229,Chicken Biryani,2023-08-11,23:50:39,Completed,509
138,4,452,Mutton Rogan Josh,2023-08-12,23:58:40,Completed,206
139,24,618,Chole Bhature,2023-08-13,23:51:36,Completed,531
140,3,744,Mutton Biryani,2023-08-14,23:53:27,Completed,326
141,16,267,Samosa,2023-08-15,23:54:06,Completed,542
142,33,389,Burger,2023-08-16,23:58:07,Completed,387
143,8,375,Paneer Butter Masala,2023-08-17,23:54:47,Completed,425
144,21,484,Paneer Lababdar,2023-08-18,23:55:29,Completed,383
145,2,546,Masala Dosa,2023-08-19,23:57:05,Completed,530
146,14,138,Chicken Biryani,2023-08-20,23:53:40,Completed,373
147,21,755,Mutton Biryani,2023-08-21,23:58:31,Completed,209
148,32,248,Pasta Alfredo,2023-08-22,23:53:19,Completed,513
149,11,38,Chole Bhature,2023-08-23,23:59:56,Completed,384
150,5,32,Chicken Biryani,2023-08-24,23:54:29,Completed,400
151,29,410,Pasta Alfredo,2023-08-25,23:56:50,Completed,589
152,19,699,Chicken Biryani,2023-08-26,23:53:37,Completed,505
153,28,199,Masala Dosa,2023-08-27,23:52:33,Completed,509
154,26,370,Chole Bhature,2023-08-28,23:58:32,Completed,584
155,25,613,Egg Curry,2023-08-29,23:50:59,Completed,526
156,23,613,Paneer Butter Masala,2023-08-30,23:51:14,Completed,153
157,10,333,Chicken Shawarma,2023-08-31,23:59:46,Completed,224
158,2,690,Chicken Shawarma,2023-09-01,23:51:19,Completed,505
159,27,234,Mutton Biryani,2023-09-02,23:58:20,Completed,318
160,10,609,Egg Curry,2023-09-03,23:57:26,Completed,521
161,6,438,Paneer Lababdar,2023-09-04,23:56:27,Completed,190
162,31,467,Burger,2023-09-05,23:54:26,Completed,453
163,2,23,Burger,2023-09-06,23:59:38,Completed,446
164,28,34,Pasta Alfredo,2023-09-07,23:55:22,Completed,539
165,2,761,Paneer Lababdar,2023-09-08,23:53:07,Completed,341
166,21,341,Mutton Rogan Josh,2023-09-09,23:59:55,Completed,488
167,1,565,Paneer Lababdar,2023-09-10,23:59:46,Completed,285
168,19,154,Samosa,2023-09-11,23:57:49,Completed,456
169,26,691,Paneer Lababdar,2023-09-12,23:58:37,Completed,586
170,20,217,Chicken Shawarma,2023-09-13,23:59:13,Completed,569
171,33,142,Chole Bhature,2023-09-14,23:56:21,Completed,390
172,15,430,Chicken Shawarma,2023-09-15,23:59:25,Completed,283
173,13,148,Chicken Shawarma,2023-09-16,23:59:14,Completed,530
174,33,435,Paneer Butter Masala,2023-09-17,23:56:01,Completed,479
175,16,754,Mutton Biryani,2023-09-18,23:50:45,Completed,534
176,26,204,Prawn Masala,2023-09-19,23:53:52,Completed,403
177,22,125,Mutton Biryani,2023-09-20,23:58:55,Completed,469
178,30,122,Paneer Butter Masala,2023-09-21,23:57:37,Completed,168
179,10,279,Egg Curry,2023-09-22,23:52:36,Completed,209
180,22,788,Egg Curry,2023-09-23,23:55:29,Completed,366
181,16,97,Egg Curry,2023-09-24,23:59:21,Completed,255
182,6,271,Chicken Shawarma,2023-09-25,23:53:20,Completed,563
183,31,177,Mutton Rogan Josh,2023-09-26,23:57:16,Completed,367
184,30,466,Egg Curry,2023-09-27,23:53:11,Completed,318
185,26,288,Masala Dosa,2023-09-28,23:50:21,Completed,278
186,13,183,Mutton Rogan Josh,2023-09-29,23:50:38,Completed,440
187,31,39,Masala Dosa,2023-09-30,23:57:36,Completed,462
188,22,561,Pasta Alfredo,2023-10-01,23:53:49,Completed,585
189,11,183,Egg Curry,2023-10-02,23:55:34,Completed,200
190,7,275,Mutton Biryani,2023-10-03,23:57:15,Completed,388
191,25,474,Paneer Butter Masala,2023-10-04,23:54:02,Completed,556
192,14,98,Mutton Biryani,2023-10-05,23:58:43,Completed,294
193,5,175,Prawn Masala,2023-10-06,23:57:14,Completed,531
194,6,309,Paneer Butter Masala,2023-10-07,23:51:39,Completed,470
195,25,376,Mutton Rogan Josh,2023-10-08,23:59:58,Completed,325
196,7,375,Masala Dosa,2023-10-09,23:55:37,Completed,175
197,11,546,Paneer Lababdar,2023-10-10,23:51:15,Completed,438
198,3,143,Paneer Butter Masala,2023-10-11,23:51:56,Completed,174
199,15,545,Chicken Biryani,2023-10-12,23:51:46,Completed,228
200,9,624,Chicken Shawarma,2023-10-13,23:59:32,Completed,289
201,16,766,Samosa,2023-10-14,23:59:21,Completed,341
202,26,276,Mutton Biryani,2023-10-15,23:56:00,Completed,455
203,26,14,Mutton Rogan Josh,2023-10-16,23:53:27,Completed,431
204,22,93,Chicken Biryani,2023-10-17,23:57:09,Completed,236
205,20,655,Paneer Lababdar,2023-10-18,23:52:06,Completed,395
206,23,648,Mutton Biryani,2023-10-19,23:53:50,Completed,494
207,32,241,Egg Curry,2023-10-20,23:50:58,Completed,518
208,20,56,Chicken Biryani,2023-10-21,23:53:59,Completed,569
209,5,47,Paneer Lababdar,2023-10-22,23:51:22,Completed,236
210,22,371,Burger,2023-10-23,23:50:48,Completed,167
211,5,564,Mutton Rogan Josh,2023-10-24,23:56:42,Completed,543
212,11,84,Masala Dosa,2023-10-25,23:52:18,Completed,214
213,17,617,Paneer Lababdar,2023-10-26,23:58:26,Completed,488
214,28,247,Paneer Butter Masala,2023-10-27,23:58:41,Completed,204
215,3,709,Chicken Biryani,2023-10-28,23:58:57,Completed,205
216,16,110,Paneer Butter Masala,2023-10-29,23:53:04,Completed,564
217,17,493,Prawn Masala,2023-10-30,23:56:33,Completed,369
218,18,798,Mutton Biryani,2023-10-31,23:59:24,Completed,192
219,24,630,Paneer Lababdar,2023-11-01,23:55:26,Completed,522
220,32,604,Paneer Lababdar,2023-11-02,23:58:58,Completed,336
221,29,126,Masala Dosa,2023-11-03,23:54:44,Completed,233
222,6,74,Paneer Lababdar,2023-11-04,23:58:12,Completed,401
223,15,92,Burger,2023-11-05,23:59:50,Completed,471
224,32,499,Masala Dosa,2023-11-06,23:56:27,Completed,409
225,30,521,Masala Dosa,2023-11-07,23:57:04,Completed,453
226,26,375,Paneer Lababdar,2023-11-08,23:50:08,Completed,498
227,33,345,Mutton Biryani,2023-11-09,23:58:34,Completed,436
228,31,768,Masala Dosa,2023-11-10,23:59:54,Completed,349
229,1,732,Paneer Butter Masala,2023-11-11,23:54:06,Completed,596
230,20,274,Chicken Shawarma,2023-11-12,23:58:16,Completed,582
231,20,329,Samosa,2023-11-13,23:52:10,Completed,404
232,28,734,Burger,2023-11-14,23:57:41,Completed,340
233,33,350,Chicken Shawarma,2023-11-15,23:56:39,Completed,217
234,26,451,Samosa,2023-11-16,23:54:16,Completed,349
235,15,115,Chicken Shawarma,2023-11-17,23:55:08,Completed,271
236,3,772,Mutton Biryani,2023-11-18,23:59:26,Completed,198
237,32,371,Egg Curry,2023-11-19,23:52:19,Completed,200
238,30,787,Mutton Biryani,2023-11-20,23:58:24,Completed,212
239,5,578,Mutton Rogan Josh,2023-11-21,23:54:06,Completed,589
240,20,5,Egg Curry,2023-11-22,23:50:25,Completed,548
241,4,19,Samosa,2023-11-23,23:57:10,Completed,354
242,17,592,Egg Curry,2023-11-24,23:58:07,Completed,171
243,3,60,Pasta Alfredo,2023-11-25,23:58:47,Completed,415
244,29,197,Mutton Biryani,2023-11-26,23:54:31,Completed,189
245,13,160,Burger,2023-11-27,23:55:20,Completed,526
246,31,541,Chole Bhature,2023-11-28,23:54:53,Completed,474
247,3,619,Chole Bhature,2023-11-29,23:55:56,Completed,469
248,16,449,Egg Curry,2023-11-30,23:56:40,Completed,326
249,12,678,Chole Bhature,2023-12-01,23:51:44,Completed,474
250,1,290,Mutton Rogan Josh,2023-12-02,23:52:09,Completed,499
251,3,64,Burger,2023-12-03,23:55:27,Completed,335
252,20,13,Egg Curry,2023-12-04,23:59:50,Completed,560
253,26,161,Mutton Rogan Josh,2023-12-05,23:51:36,Completed,477
254,19,601,Egg Curry,2023-12-06,23:53:02,Completed,236
255,14,686,Pasta Alfredo,2023-12-07,23:55:12,Completed,227
256,12,516,Burger,2023-12-08,23:51:43,Completed,177
257,8,584,Prawn Masala,2023-12-09,23:54:04,Completed,254
258,15,523,Samosa,2023-12-10,23:51:28,Completed,328
259,6,793,Samosa,2023-12-11,23:58:18,Completed,366
260,6,703,Chicken Shawarma,2023-12-12,23:54:18,Completed,378
261,10,42,Mutton Rogan Josh,2023-12-13,23:51:29,Completed,294
262,20,142,Mutton Rogan Josh,2023-12-14,23:52:35,Completed,162
263,8,593,Prawn Masala,2023-12-15,23:50:15,Completed,174
264,2,270,Prawn Masala,2023-12-16,23:51:50,Completed,435
265,11,624,Chole Bhature,2023-12-17,23:50:30,Completed,235
266,12,750,Burger,2023-12-18,23:59:00,Completed,303
267,3,484,Mutton Rogan Josh,2023-12-19,23:56:13,Completed,228
268,28,740,Chicken Shawarma,2023-12-20,23:50:49,Completed,186
269,2,303,Prawn Masala,2023-12-21,23:55:10,Completed,170
270,27,612,Samosa,2023-12-22,23:57:43,Completed,302
271,14,723,Samosa,2023-12-23,23:57:41,Completed,178
272,31,154,Paneer Butter Masala,2023-12-24,23:57:58,Completed,409
273,22,462,Paneer Lababdar,2023-12-25,23:53:18,Completed,328
274,15,524,Burger,2023-12-26,23:57:59,Completed,202
275,28,356,Chole Bhature,2023-12-27,23:58:44,Completed,422
276,20,465,Prawn Masala,2023-12-28,23:55:31,Completed,365
277,15,616,Paneer Butter Masala,2023-12-29,23:56:57,Completed,157
278,22,567,Pasta Alfredo,2023-12-30,23:54:11,Completed,275
279,9,270,Chicken Shawarma,2023-12-31,23:53:33,Completed,303
280,27,90,Pasta Alfredo,2024-01-01,23:54:21,Completed,516
281,12,432,Mutton Biryani,2024-01-02,23:58:44,Completed,440
282,10,36,Mutton Biryani,2024-01-03,23:55:14,Completed,198
283,6,477,Egg Curry,2024-01-04,23:57:56,Completed,469
284,23,210,Egg Curry,2024-01-05,23:59:56,Completed,256
285,23,451,Egg Curry,2024-01-06,23:53:38,Completed,386
286,33,5,Mutton Biryani,2024-01-07,23:50:42,Completed,517
287,29,11,Mutton Biryani,2024-01-08,23:58:43,Completed,166
288,4,593,Chicken Shawarma,2024-01-09,23:55:18,Completed,261
289,13,84,Chicken Biryani,2024-01-10,23:58:47,Completed,417
290,11,39,Samosa,2024-01-11,23:55:59,Completed,433
291,11,587,Paneer Butter Masala,2024-01-12,23:53:29,Completed,308
292,11,574,Egg Curry,2024-01-13,23:54:15,Completed,196
293,30,783,Chicken Shawarma,2024-01-14,23:54:26,Completed,297
294,24,622,Chicken Biryani,2024-01-15,23:54:48,Completed,503
295,16,25,Paneer Lababdar,2024-01-16,23:53:59,Completed,377
296,19,4,Prawn Masala,2024-01-17,23:53:32,Completed,469
297,15,563,Paneer Butter Masala,2024-01-18,23:54:39,Completed,576
298,19,593,Chicken Biryani,2024-01-19,23:53:57,Completed,384
299,19,618,Masala Dosa,2024-01-20,23:58:34,Completed,323
300,20,482,Chole Bhature,2024-01-21,23:51:47,Completed,526
301,22,349,Chicken Shawarma,2024-01-22,23:52:04,Completed,576
302,3,396,Chicken Shawarma,2024-01-23,23:59:27,Completed,229
303,29,334,Prawn Masala,2024-01-24,23:52:42,Completed,244
304,33,575,Chicken Shawarma,2024-01-25,23:50:11,Completed,431
305,12,646,Chicken Shawarma,2024-01-26,23:50:20,Completed,194
306,13,506,Chole Bhature,2024-01-27,23:52:53,Completed,478
307,11,15,Pasta Alfredo,2024-01-28,23:54:34,Completed,405
308,23,519,Masala Dosa,2024-01-29,23:52:29,Completed,506
309,15,31,Paneer Lababdar,2024-01-30,23:59:30,Completed,313
310,22,249,Samosa,2024-01-31,23:58:03,Completed,340
311,2,644,Chicken Biryani,2024-02-01,23:51:07,Completed,230
312,30,47,Chicken Shawarma,2024-02-02,23:53:39,Completed,163
313,32,314,Paneer Lababdar,2024-02-03,23:58:40,Completed,283
314,29,243,Mutton Rogan Josh,2024-02-04,23:56:21,Completed,462
315,20,753,Paneer Lababdar,2024-02-05,23:51:49,Completed,160
316,15,742,Samosa,2024-02-06,23:51:26,Completed,554
317,9,176,Paneer Lababdar,2024-02-07,23:57:54,Completed,205
318,8,230,Paneer Butter Masala,2024-02-08,23:55:27,Completed,340
319,24,456,Mutton Biryani,2024-02-09,23:50:52,Completed,276
320,20,326,Chicken Biryani,2024-02-10,23:51:02,Completed,493
321,22,277,Burger,2024-02-11,23:55:58,Completed,424
322,27,589,Chole Bhature,2024-02-12,23:58:15,Completed,578
323,20,285,Chicken Shawarma,2024-02-13,23:56:48,Completed,485
324,6,443,Samosa,2024-02-14,23:57:34,Completed,210
325,16,153,Samosa,2024-02-15,23:58:36,Completed,316
326,25,150,Prawn Masala,2024-02-16,23:51:31,Completed,355
327,24,203,Prawn Masala,2024-02-17,23:59:24,Completed,332
328,1,553,Samosa,2024-02-18,23:51:39,Completed,165
329,1,417,Egg Curry,2024-02-19,23:52:13,Completed,179
330,22,25,Paneer Butter Masala,2024-02-20,23:53:54,Completed,457
331,24,73,Masala Dosa,2024-02-21,23:59:31,Completed,391
332,31,483,Masala Dosa,2024-02-22,23:51:37,Completed,477
333,3,385,Mutton Biryani,2024-02-23,23:56:15,Completed,512
334,16,759,Samosa,2024-02-24,23:54:05,Completed,313
335,27,600,Burger,2024-02-25,23:59:52,Completed,587
336,15,26,Samosa,2024-02-26,23:56:13,Completed,305
337,26,608,Chicken Biryani,2024-02-27,23:53:08,Completed,332
338,26,155,Egg Curry,2024-02-28,23:57:19,Completed,419
339,7,508,Chicken Biryani,2024-02-29,23:59:37,Completed,351
340,22,63,Chole Bhature,2024-03-01,23:52:53,Completed,413
341,5,484,Masala Dosa,2024-03-02,23:59:57,Completed,335
342,6,484,Masala Dosa,2024-03-03,23:51:09,Completed,415
343,1,113,Paneer Butter Masala,2024-03-04,23:54:11,Completed,596
344,33,681,Chole Bhature,2024-03-05,23:57:49,Completed,510
345,16,519,Pasta Alfredo,2024-03-06,23:54:18,Completed,499
346,21,390,Chicken Shawarma,2024-03-07,23:53:22,Completed,581
347,17,292,Burger,2024-03-08,23:52:39,Completed,306
348,6,787,Egg Curry,2024-03-09,23:50:55,Completed,446
349,19,36,Chicken Shawarma,2024-03-10,23:52:09,Completed,436
350,9,31,Mutton Rogan Josh,2024-03-11,23:51:47,Completed,291
351,27,108,Chicken Shawarma,2024-03-12,23:53:47,Completed,322
352,23,772,Paneer Lababdar,2024-03-13,23:58:29,Completed,514
353,32,193,Prawn Masala,2024-03-14,23:59:05,Completed,321
354,7,536,Mutton Rogan Josh,2024-03-15,23:59:47,Completed,175
355,2,729,Chicken Biryani,2024-03-16,23:59:37,Completed,384
356,10,634,Mutton Rogan Josh,2024-03-17,23:56:31,Completed,189
357,31,468,Paneer Lababdar,2024-03-18,23:57:54,Completed,551
358,31,430,Chicken Shawarma,2024-03-19,23:57:11,Completed,270
359,5,250,Prawn Masala,2024-03-20,23:54:21,Completed,214
360,2,211,Mutton Rogan Josh,2024-03-21,23:54:15,Completed,500
361,18,371,Paneer Butter Masala,2024-03-22,23:55:00,Completed,367
362,29,20,Pasta Alfredo,2024-03-23,23:51:05,Completed,553
363,30,646,Chole Bhature,2024-03-24,23:57:59,Completed,182
364,11,647,Chicken Biryani,2024-03-25,23:53:42,Completed,217
365,14,72,Chicken Biryani,2024-03-26,23:57:06,Completed,551
366,32,478,Prawn Masala,2024-03-27,23:55:28,Completed,208
367,19,701,Chole Bhature,2024-03-28,23:56:45,Completed,150
368,6,276,Paneer Lababdar,2024-03-29,23:52:43,Completed,273
369,6,504,Paneer Lababdar,2024-03-30,23:53:52,Completed,354
370,18,733,Prawn Masala,2024-03-31,23:58:30,Completed,559
371,30,632,Samosa,2024-04-01,23:51:46,Completed,563
372,11,206,Paneer Lababdar,2024-04-02,23:53:34,Completed,282
373,8,544,Paneer Lababdar,2024-04-03,23:55:19,Completed,211
374,20,680,Prawn Masala,2024-04-04,23:51:21,Completed,245
375,8,67,Samosa,2024-04-05,23:52:42,Completed,250
376,33,711,Paneer Butter Masala,2024-04-06,23:56:28,Completed,548
377,10,321,Chicken Shawarma,2024-04-07,23:59:13,Completed,493
378,4,6,Burger,2024-04-08,23:55:07,Completed,429
379,10,238,Paneer Lababdar,2024-04-09,23:56:01,Completed,378
380,23,401,Chicken Biryani,2024-04-10,23:50:24,Completed,331
381,33,632,Chole Bhature,2024-04-11,23:50:26,Completed,576
382,13,473,Mutton Rogan Josh,2024-04-12,23:56:39,Completed,302
383,11,774,Burger,2024-04-13,23:55:02,Completed,518
384,8,153,Masala Dosa,2024-04-14,23:51:52,Completed,256
385,33,219,Chole Bhature,2024-04-15,23:50:29,Completed,353
386,28,513,Paneer Lababdar,2024-04-16,23:55:03,Completed,263
387,12,130,Egg Curry,2024-04-17,23:59:33,Completed,510
388,9,641,Masala Dosa,2024-04-18,23:55:33,Completed,377
389,22,668,Egg Curry,2024-04-19,23:50:45,Completed,270
390,13,112,Samosa,2024-04-20,23:55:44,Completed,414
391,18,791,Chicken Shawarma,2024-04-21,23:54:39,Completed,552
392,10,323,Mutton Biryani,2024-04-22,23:50:22,Completed,266
393,12,379,Paneer Lababdar,2024-04-23,23:58:28,Completed,384
394,15,206,Mutton Biryani,2024-04-24,23:53:09,Completed,403
395,16,528,Prawn Masala,2024-04-25,23:50:41,Completed,372
396,33,500,Masala Dosa,2024-04-26,23:55:50,Completed,323
397,4,44,Mutton Biryani,2024-04-27,23:51:55,Completed,176
398,5,453,Prawn Masala,2024-04-28,23:59:41,Completed,451
399,12,149,Paneer Lababdar,2024-04-29,23:57:21,Completed,548
400,19,138,Mutton Rogan Josh,2024-04-30,23:58:50,Completed,234
401,11,103,Pasta Alfredo,2024-05-01,23:56:47,Completed,196
402,16,552,Paneer Lababdar,2024-05-02,23:58:17,Completed,573
403,27,390,Mutton Rogan Josh,2024-05-03,23:54:15,Completed,486
404,28,95,Pasta Alfredo,2024-05-04,23:53:39,Completed,332
405,2,792,Masala Dosa,2024-05-05,23:59:47,Completed,441
406,11,579,Prawn Masala,2024-05-06,23:50:25,Completed,502
407,30,194,Samosa,2024-05-07,23:51:24,Completed,243
408,19,270,Burger,2024-05-08,23:51:26,Completed,559
409,19,50,Mutton Rogan Josh,2024-05-09,23:57:20,Completed,456
410,10,96,Chole Bhature,2024-05-10,23:51:19,Completed,264
411,17,784,Samosa,2024-05-11,23:50:30,Completed,251
412,14,706,Egg Curry,2024-05-12,23:53:52,Completed,285
413,25,724,Mutton Rogan Josh,2024-05-13,23:52:11,Completed,481
414,6,581,Chicken Shawarma,2024-05-14,23:56:05,Completed,200
